model_name,cycle_size,model_cycle,train_samples,val_samples,train_time_sec,accuracy,precision,recall,f1_score,roc_auc,rank_by_acc
lstm_baseline,1,1-cycle lstm_baseline,168,36,14.54,0.5,0.5,0.6667,0.5714,0.5,1.0
lstm_bidirectional,1,1-cycle lstm_bidirectional,168,36,19.04,0.1111,0.1818,0.2222,0.2,0.1111,4.0
lstm_simpleatt,1,1-cycle lstm_simpleatt,168,36,19.17,0.5,0.5,0.6667,0.5714,0.5,1.0
lstm_multiheadatt,1,1-cycle lstm_multiheadatt,168,36,20.76,0.5,0.5,0.6667,0.5714,0.5,1.0
lstm_baseline,2,2-cycle lstm_baseline,84,18,11.84,0.1667,0.25,0.3333,0.2857,0.1667,4.0
lstm_bidirectional,2,2-cycle lstm_bidirectional,84,18,19.66,0.3333,0.0,0.0,0.0,0.3333,3.0
lstm_simpleatt,2,2-cycle lstm_simpleatt,84,18,21.42,0.8333,0.75,1.0,0.8571,0.8333,1.0
lstm_multiheadatt,2,2-cycle lstm_multiheadatt,84,18,24.05,0.5,0.5,0.6667,0.5714,0.5,2.0
lstm_baseline,3,3-cycle lstm_baseline,56,12,15.3,0.6667,0.6667,0.6667,0.6667,0.6667,2.0
lstm_bidirectional,3,3-cycle lstm_bidirectional,56,12,20.23,0.8333,0.75,1.0,0.8571,0.8333,1.0
lstm_simpleatt,3,3-cycle lstm_simpleatt,56,12,20.73,0.5,0.5,0.3333,0.4,0.5,3.0
lstm_multiheadatt,3,3-cycle lstm_multiheadatt,56,12,20.47,0.25,0.2,0.1667,0.1818,0.25,4.0
lstm_baseline,4,4-cycle lstm_baseline,28,6,10.14,0.6667,1.0,0.3333,0.5,0.6667,1.0
lstm_bidirectional,4,4-cycle lstm_bidirectional,28,6,17.3,0.3333,0.3333,0.3333,0.3333,0.3333,3.0
lstm_simpleatt,4,4-cycle lstm_simpleatt,28,6,17.55,0.6667,1.0,0.3333,0.5,0.6667,1.0
lstm_multiheadatt,4,4-cycle lstm_multiheadatt,28,6,17.8,0.3333,0.0,0.0,0.0,0.3333,3.0
lstm_baseline,5,5-cycle lstm_baseline,28,6,10.92,0.5,0.5,0.6667,0.5714,0.5,1.0
lstm_bidirectional,5,5-cycle lstm_bidirectional,28,6,19.26,0.1667,0.0,0.0,0.0,0.1667,4.0
lstm_simpleatt,5,5-cycle lstm_simpleatt,28,6,19.76,0.5,0.5,0.6667,0.5714,0.5,1.0
lstm_multiheadatt,5,5-cycle lstm_multiheadatt,28,6,22.42,0.3333,0.0,0.0,0.0,0.3333,3.0
lstm_baseline,6,6-cycle lstm_baseline,28,6,11.6,0.5,0.5,0.6667,0.5714,0.5,1.0
lstm_bidirectional,6,6-cycle lstm_bidirectional,28,6,18.83,0.1667,0.0,0.0,0.0,0.1667,4.0
lstm_simpleatt,6,6-cycle lstm_simpleatt,28,6,19.25,0.3333,0.0,0.0,0.0,0.3333,3.0
lstm_multiheadatt,6,6-cycle lstm_multiheadatt,28,6,20.94,0.5,0.5,0.6667,0.5714,0.5,1.0
